time,open,high,low,close,tick_volume,spread,real_volume
2025.01.02 01:00:00,2625.51,2625.94,2623.96,2624.62,485,28,0
2025.01.02 01:05:00,2624.76,2625.2,2623.98,2624.86,285,82,0
2025.01.02 01:10:00,2624.89,2624.98,2623.93,2624.44,281,67,0
2025.01.02 01:15:00,2624.46,2624.78,2623.94,2623.99,416,40,0
2025.01.02 01:20:00,2624.12,2624.12,2623.2,2623.5,255,44,0
2025.01.02 01:25:00,2623.5,2623.91,2623.34,2623.51,181,39,0
2025.01.02 01:30:00,2623.51,2623.73,2623.0,2623.11,287,30,0
2025.01.02 01:35:00,2623.08,2623.62,2622.56,2622.7,229,31,0
2025.01.02 01:40:00,2622.7,2622.74,2621.58,2621.61,224,30,0
2025.01.02 01:45:00,2621.65,2623.15,2621.46,2622.94,272,47,0
2025.01.02 01:50:00,2622.95,2623.84,2622.91,2623.53,206,40,0
2025.01.02 01:55:00,2623.55,2624.27,2623.37,2623.63,189,34,0
2025.01.02 02:00:00,2623.62,2623.96,2622.63,2622.86,433,29,0
2025.01.02 02:05:00,2622.83,2625.39,2622.77,2625.39,420,30,0
2025.01.02 02:10:00,2625.39,2626.06,2625.01,2625.6,1116,31,0
2025.01.02 02:15:00,2625.61,2625.67,2625.08,2625.56,874,27,0
2025.01.02 02:20:00,2625.57,2626.39,2625.48,2626.1,596,28,0
2025.01.02 02:25:00,2626.11,2626.35,2625.65,2626.28,431,27,0
2025.01.02 02:30:00,2626.27,2626.28,2625.32,2625.59,799,27,0
2025.01.02 02:35:00,2625.59,2626.31,2625.52,2626.17,785,30,0
2025.01.02 02:40:00,2626.18,2627.41,2625.97,2626.79,965,27,0
2025.01.02 02:45:00,2626.78,2627.71,2626.69,2626.69,746,27,0
2025.01.02 02:50:00,2626.68,2627.27,2626.4,2626.58,800,34,0
2025.01.02 02:55:00,2626.58,2626.77,2625.23,2625.26,1281,27,0
2025.01.02 03:00:00,2625.26,2627.2,2623.72,2627.1,5827,27,0
2025.01.02 03:05:00,2627.11,2630.32,2627.11,2629.45,4040,27,0
2025.01.02 03:10:00,2629.44,2630.75,2629.34,2629.5,2733,30,0
2025.01.02 03:15:00,2629.5,2631.88,2629.3,2631.27,3506,31,0
2025.01.02 03:20:00,2631.26,2631.62,2629.78,2631.33,2854,32,0
2025.01.02 03:25:00,2631.33,2632.85,2630.3,2632.45,2244,27,0
2025.01.02 03:30:00,2632.45,2634.15,2632.43,2633.99,3055,27,0
2025.01.02 03:35:00,2633.99,2634.3,2632.53,2633.03,2591,27,0
2025.01.02 03:40:00,2633.03,2633.8,2632.29,2633.36,2666,27,0
2025.01.02 03:45:00,2633.36,2633.41,2631.68,2632.16,3396,27,0
2025.01.02 03:50:00,2632.14,2632.81,2631.49,2632.47,3378,27,0
2025.01.02 03:55:00,2632.47,2633.32,2632.08,2632.85,2551,27,0
2025.01.02 04:00:00,2632.86,2634.66,2632.55,2633.56,2598,27,0
2025.01.02 04:05:00,2633.56,2634.49,2633.23,2634.17,2384,27,0
2025.01.02 04:10:00,2634.18,2634.71,2633.34,2634.5,1466,27,0
2025.01.02 04:15:00,2634.5,2634.5,2633.81,2634.11,1063,27,0
2025.01.02 04:20:00,2634.1,2636.43,2633.94,2635.7,1394,27,0
